,Year,COMMUNITY,count
368,2002,CHATHAM,6580
369,2005,LINCOLN PARK,6571
370,2016,GREATER GRAND CROSSING,6568
371,2020,HUMBOLDT PARK,6557
372,2015,ROSELAND,6534
373,2012,SOUTH CHICAGO,6531
374,2019,ROSELAND,6498
375,2022,NORTH LAWNDALE,6492
376,2010,WOODLAWN,6484
377,2003,DOUGLAS,6480
378,2003,PORTAGE PARK,6470
379,2002,GRAND BOULEVARD,6466
380,2014,CHICAGO LAWN,6456
381,2018,CHATHAM,6453
382,2002,LAKE VIEW,6416
383,2017,GREATER GRAND CROSSING,6408
384,2011,EAST GARFIELD PARK,6405
385,2008,ROGERS PARK,6388
386,2007,UPTOWN,6381
387,2010,WEST GARFIELD PARK,6375
388,2005,GRAND BOULEVARD,6357
389,2012,BELMONT CRAGIN,6356
390,2017,CHATHAM,6335
391,2020,NEAR WEST SIDE,6330
392,2018,GREATER GRAND CROSSING,6293
393,2010,SOUTH LAWNDALE,6286
394,2011,WEST GARFIELD PARK,6275
395,2013,EAST GARFIELD PARK,6260
396,2016,ENGLEWOOD,6246
397,2014,CHATHAM,6244
398,2009,WEST GARFIELD PARK,6236
399,2016,CHATHAM,6217
400,2019,WEST GARFIELD PARK,6212
401,2009,SOUTH LAWNDALE,6201
402,2021,NORTH LAWNDALE,6200
403,2002,EAST GARFIELD PARK,6199
404,2014,WEST GARFIELD PARK,6178
405,2012,EAST GARFIELD PARK,6176
406,2022,AUBURN GRESHAM,6175
407,2002,BELMONT CRAGIN,6172
408,2018,ENGLEWOOD,6166
409,2006,DOUGLAS,6157
410,2020,AUBURN GRESHAM,6154
411,2015,CHICAGO LAWN,6085
412,2009,LINCOLN PARK,6032
413,2006,WEST RIDGE,6024
414,2019,ENGLEWOOD,6016
415,2011,SOUTH LAWNDALE,6015
416,2006,GRAND BOULEVARD,6004
417,2013,NEW CITY,5988
418,2022,CHATHAM,5984
419,2010,WEST PULLMAN,5973
420,2022,HUMBOLDT PARK,5966
421,2002,SOUTH CHICAGO,5966
422,2016,LAKE VIEW,5948
423,2015,CHATHAM,5940
424,2021,AUBURN GRESHAM,5917
425,2004,PORTAGE PARK,5913
426,2008,UPTOWN,5904
427,2011,WEST PULLMAN,5900
428,2002,ROGERS PARK,5899
429,2020,ROSELAND,5895
430,2017,ENGLEWOOD,5894
431,2020,GREATER GRAND CROSSING,5889
432,2022,GREATER GRAND CROSSING,5878
433,2009,ROGERS PARK,5878
434,2002,UPTOWN,5864
435,2002,LINCOLN PARK,5860
436,2019,LAKE VIEW,5858
437,2022,ROSELAND,5846
438,2013,LOGAN SQUARE,5845
439,2013,SOUTH CHICAGO,5814
440,2016,CHICAGO LAWN,5808
441,2005,PORTAGE PARK,5808
442,2005,WEST RIDGE,5807
443,2010,LINCOLN PARK,5795
444,2021,HUMBOLDT PARK,5788
445,2015,WEST GARFIELD PARK,5779
446,2018,LAKE VIEW,5779
447,2012,SOUTH LAWNDALE,5769
448,2014,EAST GARFIELD PARK,5768
449,2016,WEST GARFIELD PARK,5763
450,2002,SOUTH LAWNDALE,5763
451,2002,WOODLAWN,5762
452,2012,WEST PULLMAN,5741
453,2004,WEST RIDGE,5735
454,2013,BELMONT CRAGIN,5699
455,2011,WOODLAWN,5699
456,2017,CHICAGO LAWN,5689
457,2014,LAKE VIEW,5666
458,2008,PORTAGE PARK,5653
459,2018,CHICAGO LAWN,5640
460,2020,WEST ENGLEWOOD,5639
461,2018,WEST GARFIELD PARK,5623
462,2017,LAKE VIEW,5590
463,2022,LAKE VIEW,5588
464,2010,ROGERS PARK,5571
465,2021,GREATER GRAND CROSSING,5562
466,2006,WASHINGTON HEIGHTS,5516
467,2019,CHICAGO LAWN,5503
468,2015,LAKE VIEW,5467
469,2007,DOUGLAS,5460
470,2003,IRVING PARK,5458
471,2002,WEST PULLMAN,5457
472,2021,WEST TOWN,5432
473,2006,PORTAGE PARK,5409
474,2002,WEST GARFIELD PARK,5408
475,2012,WOODLAWN,5394
476,2007,WASHINGTON HEIGHTS,5393
477,2020,CHATHAM,5387
478,2016,LOGAN SQUARE,5385
479,2008,WEST RIDGE,5378
480,2007,GRAND BOULEVARD,5334
481,2007,PORTAGE PARK,5328
482,2017,WEST GARFIELD PARK,5328
483,2021,LOOP,5322
484,2004,WASHINGTON HEIGHTS,5322
485,2008,GRAND BOULEVARD,5296
486,2005,WASHINGTON HEIGHTS,5289
487,2021,ROSELAND,5278
488,2021,CHATHAM,5265
489,2011,LINCOLN PARK,5263
490,2015,EAST GARFIELD PARK,5255
491,2007,WEST RIDGE,5250
492,2014,NEW CITY,5245
493,2009,GRAND BOULEVARD,5234
494,2009,PORTAGE PARK,5228
495,2004,WASHINGTON PARK,5220
496,2014,SOUTH CHICAGO,5219
497,2003,WASHINGTON PARK,5205
498,2003,WEST RIDGE,5195
499,2002,DOUGLAS,5178
500,2009,WEST RIDGE,5164
501,2006,WASHINGTON PARK,5162
502,2005,WASHINGTON PARK,5161
503,2013,WEST PULLMAN,5143
504,2004,IRVING PARK,5132
505,2009,UPTOWN,5125
506,2005,IRVING PARK,5122
507,2020,ENGLEWOOD,5110
508,2011,ROGERS PARK,5107
509,2013,SOUTH LAWNDALE,5101
510,2020,WEST TOWN,5084
511,2014,LOGAN SQUARE,5070
512,2010,UPTOWN,5068
513,2003,WASHINGTON HEIGHTS,5062
514,2006,IRVING PARK,5041
515,2016,EAST GARFIELD PARK,5010
516,2015,SOUTH CHICAGO,5005
517,2005,EDGEWATER,4983
518,2020,LOOP,4973
519,2012,LINCOLN PARK,4969
520,2012,UPTOWN,4961
521,2003,LOWER WEST SIDE,4958
522,2008,WASHINGTON HEIGHTS,4951
523,2017,LOGAN SQUARE,4950
524,2014,BELMONT CRAGIN,4943
525,2020,WEST GARFIELD PARK,4922
526,2012,ROGERS PARK,4920
527,2016,NEW CITY,4911
528,2018,LINCOLN PARK,4899
529,2004,EDGEWATER,4880
530,2010,WEST RIDGE,4880
