,Year,COMMUNITY,count
1554,2013,OAKLAND,711
1555,2012,MOUNT GREENWOOD,707
1556,2021,MCKINLEY PARK,699
1557,2010,FOREST GLEN,695
1558,2021,WEST ELSDON,691
1559,2016,OAKLAND,684
1560,2021,NORTH PARK,682
1561,2003,BURNSIDE,676
1562,2020,ARCHER HEIGHTS,673
1563,2020,FULLER PARK,672
1564,2017,OAKLAND,669
1565,2016,MONTCLARE,668
1566,2014,MOUNT GREENWOOD,665
1567,2006,BURNSIDE,665
1568,2021,ARCHER HEIGHTS,663
1569,2017,HEGEWISCH,662
1570,2023,WASHINGTON PARK,657
1571,2022,MONTCLARE,652
1572,2023,ASHBURN,642
1573,2014,OAKLAND,636
1574,2018,OAKLAND,633
1575,2013,MONTCLARE,632
1576,2019,OAKLAND,627
1577,2013,MOUNT GREENWOOD,625
1578,2014,HEGEWISCH,623
1579,2023,NEAR SOUTH SIDE,623
1580,2022,FULLER PARK,623
1581,2015,OAKLAND,615
1582,2023,ALBANY PARK,613
1583,2018,HEGEWISCH,613
1584,2020,OAKLAND,611
1585,2017,MONTCLARE,607
1586,2002,FOREST GLEN,607
1587,2015,MOUNT GREENWOOD,603
1588,2022,HEGEWISCH,603
1589,2023,GARFIELD RIDGE,602
1590,2011,FOREST GLEN,602
1591,2016,MOUNT GREENWOOD,601
1592,2021,HEGEWISCH,600
1593,2009,BURNSIDE,599
1594,2012,FOREST GLEN,598
1595,2022,FOREST GLEN,595
1596,2018,MONTCLARE,590
1597,2016,HEGEWISCH,582
1598,2023,BRIGHTON PARK,581
1599,2017,MOUNT GREENWOOD,579
1600,2021,OAKLAND,576
1601,2015,MONTCLARE,573
1602,2016,FOREST GLEN,562
1603,2023,HYDE PARK,555
1604,2020,MONTCLARE,553
1605,2018,MOUNT GREENWOOD,553
1606,2019,MONTCLARE,548
1607,2021,FULLER PARK,544
1608,2023,LINCOLN SQUARE,538
1609,2023,AVONDALE,535
1610,2020,FOREST GLEN,534
1611,2012,BURNSIDE,534
1612,2017,FOREST GLEN,532
1613,2023,KENWOOD,527
1614,2023,GAGE PARK,522
1615,2014,MONTCLARE,519
1616,2022,MOUNT GREENWOOD,517
1617,2023,MORGAN PARK,508
1618,2015,HEGEWISCH,503
1619,2021,MONTCLARE,503
1620,2020,MOUNT GREENWOOD,502
1621,2023,SOUTH DEERING,498
1622,2020,HEGEWISCH,496
1623,2019,HEGEWISCH,492
1624,2021,MOUNT GREENWOOD,489
1625,2018,FOREST GLEN,485
1626,2023,WEST LAWN,482
1627,2013,BURNSIDE,470
1628,2019,MOUNT GREENWOOD,468
1629,2023,OHARE,467
1630,2002,BURNSIDE,462
1631,2008,EDISON PARK,462
1632,2010,BURNSIDE,459
1633,2005,EDISON PARK,459
1634,2014,FOREST GLEN,458
1635,2011,BURNSIDE,455
1636,2021,FOREST GLEN,453
1637,2019,FOREST GLEN,450
1638,2013,FOREST GLEN,442
1639,2015,FOREST GLEN,441
1640,2006,EDISON PARK,433
1641,2023,DUNNING,423
1642,2003,EDISON PARK,422
1643,2007,EDISON PARK,416
1644,2014,BURNSIDE,401
1645,2004,EDISON PARK,400
1646,2016,BURNSIDE,397
1647,2023,HERMOSA,388
1648,2009,EDISON PARK,381
1649,2015,BURNSIDE,380
1650,2018,BURNSIDE,379
1651,2023,CALUMET HEIGHTS,378
1652,2019,BURNSIDE,374
1653,2023,NORTH CENTER,371
1654,2011,EDISON PARK,366
1655,2017,BURNSIDE,365
1656,2023,BRIDGEPORT,358
1657,2020,BURNSIDE,338
1658,2022,BURNSIDE,337
1659,2023,AVALON PARK,331
1660,2021,BURNSIDE,326
1661,2023,RIVERDALE,322
1662,2012,EDISON PARK,321
1663,2023,EAST SIDE,320
1664,2023,CLEARING,315
1665,2002,EDISON PARK,315
1666,2016,EDISON PARK,303
1667,2010,EDISON PARK,303
1668,2023,NORWOOD PARK,301
1669,2013,EDISON PARK,297
1670,2022,EDISON PARK,288
1671,2023,JEFFERSON PARK,273
1672,2001,AUSTIN,268
1673,2019,EDISON PARK,265
1674,2017,EDISON PARK,264
1675,2023,PULLMAN,263
1676,2023,ARCHER HEIGHTS,259
1677,2015,EDISON PARK,252
1678,2023,ARMOUR SQUARE,250
1679,2023,OAKLAND,248
1680,2018,EDISON PARK,247
1681,2020,EDISON PARK,244
1682,2014,EDISON PARK,242
1683,2021,EDISON PARK,234
1684,2023,WEST ELSDON,231
1685,2023,BEVERLY,226
1686,2023,MCKINLEY PARK,225
1687,2001,HUMBOLDT PARK,224
1688,2023,NORTH PARK,215
1689,2023,FULLER PARK,188
1690,2023,MOUNT GREENWOOD,158
1691,2023,HEGEWISCH,158
1692,2023,MONTCLARE,145
1693,2023,FOREST GLEN,140
1694,2001,LOGAN SQUARE,119
1695,2001,WEST TOWN,114
1696,2001,SOUTH SHORE,107
1697,2001,WEST GARFIELD PARK,107
1698,2001,EAST GARFIELD PARK,105
1699,2001,NEAR NORTH SIDE,104
1700,2001,NORTH LAWNDALE,104
1701,2001,ENGLEWOOD,102
1702,2001,NEAR WEST SIDE,98
1703,2001,AUBURN GRESHAM,91
1704,2001,BELMONT CRAGIN,87
1705,2001,LOOP,84
1706,2001,WEST ENGLEWOOD,81
1707,2001,ROSELAND,80
1708,2001,CHICAGO LAWN,78
1709,2001,GREATER GRAND CROSSING,77
1710,2001,SOUTH CHICAGO,75
1711,2001,SOUTH LAWNDALE,74
1712,2023,BURNSIDE,74
1713,2001,UPTOWN,71
1714,2001,NEW CITY,70
1715,2001,CHATHAM,69
1716,2023,EDISON PARK,61
1717,2001,LINCOLN PARK,59
1718,2001,AVONDALE,55
1719,2001,GRAND BOULEVARD,54
1720,2001,LAKE VIEW,52
1721,2001,ROGERS PARK,52
1722,2001,WEST PULLMAN,52
1723,2001,IRVING PARK,49
1724,2001,WOODLAWN,48
1725,2001,PORTAGE PARK,46
1726,2001,BRIGHTON PARK,45
1727,2001,EDGEWATER,45
1728,2001,LOWER WEST SIDE,41
1729,2001,WASHINGTON HEIGHTS,40
1730,2001,GAGE PARK,40
1731,2001,ASHBURN,38
1732,2001,DOUGLAS,38
1733,2001,GARFIELD RIDGE,37
1734,2001,WEST RIDGE,37
1735,2001,ALBANY PARK,36
1736,2001,NEAR SOUTH SIDE,34
1737,2001,HERMOSA,33
1738,2001,LINCOLN SQUARE,33
1739,2001,HYDE PARK,32
1740,2001,OHARE,30
1741,2001,WEST LAWN,29
1742,2001,WASHINGTON PARK,26
1743,2001,SOUTH DEERING,25
1744,2001,CALUMET HEIGHTS,24
1745,2001,MORGAN PARK,24
1746,2001,NORTH CENTER,24
1747,2001,DUNNING,23
1748,2001,CLEARING,23
1749,2001,BRIDGEPORT,22
1750,2001,KENWOOD,22
1751,2001,BEVERLY,18
1752,2001,MCKINLEY PARK,17
1753,2001,PULLMAN,17
1754,2001,NORTH PARK,16
1755,2001,JEFFERSON PARK,16
1756,2001,ARMOUR SQUARE,15
1757,2001,RIVERDALE,14
1758,2001,ARCHER HEIGHTS,13
1759,2001,AVALON PARK,12
1760,2001,EAST SIDE,12
1761,2001,WEST ELSDON,11
1762,2001,NORWOOD PARK,11
1763,2001,MOUNT GREENWOOD,10
1764,2001,HEGEWISCH,10
1765,2001,MONTCLARE,10
1766,2001,FULLER PARK,7
1767,2001,OAKLAND,7
1768,2001,BURNSIDE,6
1769,2001,FOREST GLEN,5
1770,2001,EDISON PARK,4
